siteId,name,calory,carbo,protein,fat,fiber,activity1,activity2,activity3,activity4
340,انبه,60,15,0.8,0.4,1.6,8,6,17,14
334,آب آناناس شیرین نشده,41,10.5,0.3,0.1,0,5,4,11,10
338,,,,,,,,,,
344,,,,,,,,,,
345,انگور (سبز و قرمز),69,18.1,0.7,0.2,0.9,9,7,19,16
343,انجیر,74,19.2,0.8,0.3,2.9,10,7,21,18
346,انگور وزن شده با تخم,57,14.6,0.4,0.1,0.8,8,6,16,13
341,ترشی انبه روغنی,177,9.4,1.8,15,3.9,25,18,50,43
347,آب انگور شیرین نشده,46,11.7,0.3,0.1,0,6,4,13,11
342,انبه رسیده خام با پوست و هسته,39,9.6,0.5,0.1,2,5,4,11,9
349,انگور فرنگی,44,10.2,0.9,0.6,4.3,6,4,12,10
350,به,57,15.3,0.4,0.1,1.9,8,6,16,13
351,سیرابی به آرامی پخته,100,0,14.8,4.5,0,14,10,28,24
355,زبان گوسفند به آرامی پخته,289,0,18.2,24,0,41,30,82,70
354,گاو نر زبان به آرامی پخته,242,0,19.4,18.3,0,34,25,68,59
348,دسر انگور فرنگی خام,40,9.2,0.7,0.2,4.3,5,4,11,9
358,پرتقال وزن شده با پوست,43,11,0.8,0.1,1.9,6,4,12,10
352,مارماهی به آرامی پخته,201,0,20.6,13.2,0,28,21,57,49
353,گاو نر دل به آرامی پخته,157,0,27.8,5.1,0,22,16,44,38
360,تمبر هندی,238,56.5,2.3,0.3,4,33,25,67,58
359,آب پرتقال تازه، وزن میوه کامل,15,3.7,0.3,0,0,2,1,4,3
361,سیب زمینی هندی، پخته,133,33,1.7,0.3,3.5,18,14,37,32
357,,,,,,,,,,
356,پرتقال,49,12.5,0.9,0.2,2.2,6,5,13,11
362,تمشک,52,11.9,1.2,0.7,6.5,7,5,14,12
363,,,,,,,,,,
364,شاه توت,43,9.6,1.4,0.5,5.3,6,4,12,10
366,توت فرنگی,32,7.7,0.7,0.3,2,4,3,9,7
367,توت فرنگی یخ زده,35,9.1,0.4,0.1,2.1,4,3,9,8
